City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Saint-Georges,GD,12.06,-61.75,77.0,94,75,23.04,shower rain
334,Adre,TD,13.47,22.2,81.81,23,43,16.55,scattered clouds
335,Igbaras,PH,10.72,122.27,76.77,84,100,4.54,light rain
336,Gravdal,NO,68.12,13.5,48.2,70,75,13.87,broken clouds
337,Pontes E Lacerda,BR,-15.23,-59.34,93.02,31,29,6.26,scattered clouds
338,Arraial Do Cabo,BR,-22.97,-42.03,73.4,69,75,9.17,broken clouds
339,Khash,IR,28.22,61.22,47.16,33,0,5.41,clear sky
340,Yagodnoye,RU,62.55,149.67,5.99,91,86,2.15,overcast clouds
341,Nuuk,GL,64.18,-51.72,24.8,73,100,2.24,light snow
342,Qui Nhon,VN,13.77,109.23,76.6,86,99,14.52,light rain
343,Korla,CN,41.76,86.15,42.15,60,0,4.63,clear sky
344,Peace River,CA,56.25,-117.29,44.6,70,90,18.34,overcast clouds
345,Coreau,BR,-3.53,-40.66,101.93,23,64,3.6,broken clouds
346,Goderich,CA,43.75,-81.72,39.2,64,96,27.51,overcast clouds
347,Harper,LR,4.38,-7.72,79.21,84,62,6.69,broken clouds
348,San Fernando,PH,15.03,120.69,77.0,88,90,6.93,moderate rain
349,Cam Ranh,VN,11.92,109.16,80.6,83,40,12.75,scattered clouds
350,College,US,64.86,-147.8,-0.99,75,20,0.83,few clouds
351,Canico,PT,32.63,-16.85,71.6,83,20,4.7,few clouds
352,Baherden,TM,38.44,57.43,68.88,22,4,4.99,clear sky
353,Lixourion,GR,38.2,20.43,64.4,100,20,3.36,few clouds
354,Pundaguitan,PH,6.37,126.17,83.01,74,95,8.52,overcast clouds
355,Beyneu,KZ,45.32,55.2,53.49,38,90,13.82,overcast clouds
356,Koumac,NC,-20.57,164.28,73.71,81,3,5.01,clear sky
357,Lukovetskiy,RU,64.3,41.92,30.2,86,75,4.47,broken clouds
358,Eureka,US,40.8,-124.16,59.0,100,1,4.05,clear sky
359,Nijmegen,NL,51.83,5.85,64.0,88,97,3.0,overcast clouds
