City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Bac Lieu,VN,78.64,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
580,Gizo,SB,82.89,light rain,-8.1,156.84,Imagination Island
582,Kavaratti,IN,82.24,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
584,Khipro,PK,76.05,clear sky,25.83,69.38,Raja Hotel
586,Tagusao,PH,80.6,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
587,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
590,Tamandare,BR,81.64,overcast clouds,-8.76,-35.1,Pousada 100 Passos
592,Mpongwe,ZM,72.37,broken clouds,-13.51,28.16,GCMF Office & Lodge
593,Marsa Matruh,EG,70.63,broken clouds,31.35,27.25,Beau Site
596,Manggar,ID,78.96,light rain,-2.88,108.27,Guest Hotel
600,Bubaque,GW,84.33,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
602,San Policarpo,PH,77.9,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
603,Pagudpud,PH,79.38,overcast clouds,18.56,120.79,Saud Beach Resort and Hotel - 2
604,Hirekerur,IN,70.47,few clouds,14.47,75.38,Shivali Lodge
613,Salaga,GH,85.98,broken clouds,8.55,-0.52,Maridon Lodge
616,Sao Joao Da Barra,BR,73.4,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
619,Adrar,MR,85.46,overcast clouds,20.5,-10.07,
620,Ndende,GA,74.08,light rain,-2.4,11.36,
621,Erzin,TR,73.99,broken clouds,36.96,36.2,Artemis Otel
622,Morgan City,US,71.01,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
623,Tura,IN,70.38,broken clouds,25.52,90.22,Hotel RIKMAN Continental
624,Alindao,CF,73.04,overcast clouds,5.03,21.21,OCHA Alindao
625,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
630,Merauke,ID,79.56,overcast clouds,-8.47,140.33,
631,Bansi,IN,71.69,clear sky,27.18,82.93,Urvasi Hotel
633,Bodden Town,KY,87.8,few clouds,19.28,-81.25,Will T Place
634,Mana,GF,86.85,overcast clouds,5.66,-53.78,LE SAMANA
635,Buraydah,SA,77.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
640,Pak Phanang,TH,79.92,broken clouds,8.35,100.2,Green Park Inn Hotel
643,Sinnamary,GF,85.35,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
645,Badvel,IN,76.26,few clouds,14.75,79.05,R&B Bungalow
646,Oistins,BB,86.0,shower rain,13.07,-59.53,Butterfly Beach Hotel
647,Harpalpur,IN,70.48,scattered clouds,25.29,79.33,Shri bandhan gharana
648,Sambava,MG,73.92,broken clouds,-14.27,50.17,Melrose
649,Mgandu,TZ,72.25,broken clouds,-5.95,34.13,
652,Sechura,PE,76.98,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
653,Kribi,CM,79.36,overcast clouds,2.95,9.92,Les Vagues bleues
654,Varkkallai,IN,84.2,mist,8.73,76.71,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
655,San Juan,AR,87.53,clear sky,-31.54,-68.54,Hotel Provincial
659,Honiara,SB,73.4,scattered clouds,-9.43,159.95,Heritage Park Hotel
660,Kampot,KH,77.0,few clouds,10.62,104.18,Champa Lodge
665,Barinas,VE,77.76,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
666,Mayumba,GA,75.27,overcast clouds,-3.43,10.66,LIKWALE LODGE
670,Buala,SB,80.62,light rain,-8.14,159.59,Maringe Lagoon Lodge
671,Luganville,VU,78.26,light rain,-15.53,167.17,The Espiritu Hotel
672,Puerto Madryn,AR,86.97,clear sky,-42.77,-65.04,Hotel Tolosa
673,Fowa,NG,82.54,broken clouds,8.92,6.4,
677,Pilar,BR,87.8,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
679,Liku,ID,76.33,moderate rain,-0.73,119.89,Agoes Liverpool
681,Tautira,PF,80.6,shower rain,-17.73,-149.15,Pension Oaoa
683,Ternate,ID,81.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
687,Diu,IN,78.87,few clouds,20.71,70.98,Hotel Relax Inn
691,Laje,BR,77.99,moderate rain,-10.18,-40.97,Pousada Centro
692,Rawson,AR,88.14,clear sky,-43.3,-65.1,Hotel Punta León
693,Benghazi,LY,71.06,clear sky,32.12,20.07,Tibesti Hotel
694,Agadir,MA,73.4,clear sky,30.42,-9.6,Iberostar Founty Beach
697,Imbituba,BR,71.6,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
698,Cotonou,BJ,84.2,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
700,Envira,BR,88.16,overcast clouds,-7.3,-70.22,
705,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
707,Trairi,BR,86.56,few clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
714,Vao,NC,74.05,broken clouds,-22.67,167.48,Hotel Kou-Bugny
715,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
